Potency vs Parasite (uMol),Ion Regulation Activity,Ion Regulation Test Set,Smiles
1.015,0,M,Cc1ccnc(NC(c2cccc(OCc3ccccc3)c2)c4ccc5cccnc5c4O)c1
1.02,0,M,Clc1ccc2nc(cc(C(=O)NC3CCN(Cc4ccccc4)CC3)c2c1)c5ccncc5
1.02,0,M,c1(C(c(cccn2)c2)N3CCC(CC3)Cc4ccccc4)c(C)c(C)sc1NC(=O)c5ccco5
1.03,0,M,c1(cc(Br)ccc1O)CN(CC2)CCN2Cc3cccc(F)c3
1.03,0,M,CC(Oc1ccc(NC(=O)c2cccs2)cc1)C(=O)c3ccc(Cl)cc3
1.04,0,M,C1(=NC(C)(Cc(cc(OC)c(OC)c2)c23)C)C3=NNC1=O
1.05,0,M,c1(OCC)c(OC)cc(cc1Cl)CN([H])CC(O)c2ccccc2
1.06,0,M,CCOc1ccc(Nc2c3ccccc3nc4ccccc24)cc1
1.06,0,M,c12c(nc(c3ccc(OC)cc3)nc1N4CCN(C(=O)C5CCCCC5)CC4)sc(CCCC6)c26
1.06,0,M,n(CC(CNCC1CCCO1)O)(c2c3cc(Cl)cc2)c4c3cc(Cl)cc4
1.06,0,M,COc1ccc(CNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(CCc5ccccc5)C2=N)cc1
1.06,0,M,COc1ccc(cc1)C(=O)C2CC2c3ccc(Cl)cc3
1.061,0,M,Brc1ccc(Nc2nc3ccccc3nc2Nc4ccc(Br)cc4)cc1
1.07,0,M,n1c(cc(C)nc1Nc(cc2)ccc2NC(CCc3ccccc3)=O)N4CCCC4
1.07,0,M,c1ccc(cc1)c2ccc(cc2)c3nc4ccccc4[nH]3
1.07,0,M,Brc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2
1.07,0,M,O=C(NC1CCCCC1)C(N(CCc2ccccc2)C(=O)c3occc3)c4cccs4
1.075,0,M,O=C(Nc1ccc(cc1)N2CCN(Cc3ccccc3)CC2)c4cccs4
1.08,0,M,OC(CNCc1ccccc1)Cn2c3ccccc3c4ccccc24
1.08,0,M,COc1ccc(CN2CCN(Cc3ccccc3)CC2)c(O)c1
1.0895,0,M,COc1cc(OC)cc(c1)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3
1.09,1,M,COc1cccc(NC(=O)Cn2c(C)c(C#N)c3ccccc23)c1
1.1,0,M,c1(Nc(cc2)ccc2N(CC3)CCN3C)c4c(ccc(OC)c4)ncc1C(OCC)=O
1.109,0,M,CCCN1C(=N)C(=CC2=C1N=C3N(C=CC=C3C)C2=O)C(=O)NC4CCCCC4
1.11,0,M,COc1ccc(cc1)N2CCN(CC2)C(CNC(=O)C3CCCCC3)c4ccc5OCOc5c4
1.12,0,M,Cc1ccccc1OCCSc2nc3ccc(NC(=O)c4ccccc4)cc3s2
1.132,0,M,CC1CCN(Cc2c(O)ccc3C=C(C(=O)Oc23)c4nc5ccccc5s4)CC1
1.135,0,M,CCCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13
1.14,0,M,COc1nc(Nc2ccc(cc2)C(C)C)nc(OC)n1
1.14,0,M,Oc1ccc2ccccc2c1C(NC(=O)Cc3ccccc3)c4ccc(Cl)cc4
1.14,0,M,Clc1ccc(cc1)C2(CN3CCC(CC3)NC(=O)CCc4occc4)CCC2
1.15,0,M,n1c(N(C)C)cc(C)nc1Nc(cc2)ccc2NC(=O)Nc3ccccc3
1.15,1,M,n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5cccc(OC)c5
1.16,0,M,c1(C#N)nc(Cc2cccc(cccc3)c23)oc1N(CC4)CCN4C(c5ccccc5)c6ccccc6
1.16,0,M,c1(Cl)c(ccc(Cl)c1)OCC(O)CNC(C)(C)CC(C)(C)C
1.16,0,M,Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl
1.16,0,M,CC(=CCN1CCC(CC1)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3)C
1.17,0,M,Cc1ccc2nc(C)cc(Nc3cccc(c3)C(F)(F)F)c2c1
1.17,0,M,Oc1c(ccc2cccnc12)C(NC(=O)c3ccccc3)c4ccccc4
1.175,0,M,CCOC(=O)C1CCN(CC1)C(=O)CN2C(c3ccccc3C2=O)c4c[nH]c5ccccc45
1.18,1,M,COc1ccc(cc1)C2C(C(=O)Nc3cccc(OC)c3)c4ccccc4C(=O)N2C5CCCCC5
1.18,0,M,COc1cc(cc(OC)c1O)c2nc(c3ccccc3)c([nH]2)c4ccccc4
1.18,0,M,c1(C(c2cccs2)N(CCN3c4ccccc4)CC3)c(C)c(C)sc1NC(c5ccccc5)=O
1.19,0,M,CCOC(=O)c1cnc2ccc(Cl)cc2c1NCCCN(C)C
1.19,0,M,c12c(ncnc1N(CC3)CCN3C)c4c(ccc(Cl)c4)[nH]2
1.19,0,M,CCCc1c(C)nc2ccc(Br)cc2c1O
1.19,0,M,COCCN(C(C(=O)NCc1ccc(OC)cc1)c2ccc(cc2)C(C)C)C(=O)Cc3cccs3
1.19,0,M,C1(N(C)N=O)=C(NC2CCCCC2)C(=O)c(cccc3)c3C1=O
1.2,0,M,CCOc1ccc(CN2CCN(CC(O)COc3ccc(OCC(O)CN4CCN(Cc5ccc(OCC)cc5)CC4)cc3)CC2)cc1
1.22,0,M,COc1cc(cc(OC)c1OC)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3
1.23,0,M,C12=C(N=CN(CCCN(C)C)C1=N)Oc3c(ccc(cccc4)c34)C2c5ccc(OC)cc5
1.24,1,M,COc1ccc2C3CC(=Nc4ccccc4N3C(=O)c2c1OC)c5ccc(C)cc5
1.24,0,M,c1(OCC)c(OCC)cc(cc1Cl)CN([H])C(C)C(O)c2ccccc2
1.24,0,M,N1(CC(=O)c(ccc(Cl)c2Cl)c2)c3c(cccc3)N(CCN4CCCCC4)C1=N
1.26,0,M,CC(C)c1ccc(CNCC(O)c2ccccc2)cc1
1.26,1,M,OC(Cn1nnc2ccccc12)Cn3c4ccc(Br)cc4c5cc(Br)ccc35
1.27,0,M,COc1cc2CCN(C)C3Cc4ccc(Oc5cc(CC6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4
1.29,0,M,Cc1nc2ccccc2c(O)c1CC=C
1.3,0,M,COc1cccc(c1)c2nn(C)c3sc(cc23)C(=O)NCCN4CCN(CC4)c5ccccc5F
1.31,0,M,Cc1ccc2cc3c(N)c4c(C)ccc(C)c4nc3nc2c1
1.32,1,M,CCOc1ccccc1CNC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4
1.33,0,M,CCOc1cc(cc(Cl)c1O)C2NCCc3cc(OCC)c(OCC)cc23
1.33,0,M,Cc1ccc(C)c(Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)NCc5cccs5)c1
1.33,0,M,Cc1ccc(Cl)cc1N2CCN(CCCNC(=O)C3CCN(CC3)c4nc5ccccc5[nH]4)CC2
1.33,0,M,c(n1)(nc(NNC(=O)c(cc2)ccc2)cc1N(CCC3)C3)N(C4)CCC4
1.36,0,M,Brc1ccc(cc1)c2oc(cc2)C(=O)Nc3ccc(CN4CCOCC4)cc3
1.36,0,M,Brc1ccccc1C(=O)Nc2nc(cs2)c3ccccn3
1.37,1,M,CCOc1cc(Cl)c(cc1OCC)C(C)NC(=O)c2ccccc2
1.38,0,M,CCCCC(O)(C(CN1CCOCC1)c2ccc(Cl)cc2)c3ccc(Cl)cc3
1.39,0,M,c12c(C(=O)N(C)C(=O)N1C)n(Cc3cccc(OC)c3)c(Oc4ccccc4)n2
1.42,0,M,Nc1ccc(cc1)c2nc3cc(Cc4ccc5[nH]c(nc5c4)c6ccc(N)cc6)ccc3[nH]2
1.43,0,M,CCCN(CCC)CCCNC(=O)c1cc2c(nn(C)c2s1)c3ccc(OC)c(OC)c3
1.43,0,M,c1(N(CC2)CCN2C)c3c(nc(Nc(ccc4O)cc4)n1)cccc3
1.43,0,M,COc1cc(OC)cc(c1)N2C(=O)N(Cc3ccc(cc3)C(C)(C)C)c4ccccc4S2(=O)=O
1.43,1,M,CCOc1cc(Br)c(cc1OCC)C(C)NC(=O)c2cccc(OC)c2
1.43,0,M,COc1ccc(CCN2CCC(CN(C)Cc3cnn(c3)c4ccccc4)CC2)cc1
1.51,0,M,CCOC(=O)C1=C(C)N=C2SC(=Cc3ccccc3O)C(=O)N2C1c4ccc(OC)c5ccccc45
1.705,0,M,CCOc1ccc(cc1)n2cc(c3ccccc3)c4c(SCc5cc(C)ccc5C)ncnc24
1.72,0,M,O=C(NCC1Cc2cccc(c2O1)c3ccncc3)c4csc5CCCCc45
1.73,1,M,n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5ccccc5
1.75,0,M,CC(CCC(=C)C)N1CCC(CC1)N2CCC(CC2)C(=O)NCCc3ccccc3
1.79,1,M,CC(C)c1ccc(Cn2c(CCNC(=O)C)nc3ccccc23)cc1
1.79,0,M,COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1O
1.79,0,M,C12=C(N=CN(CCCn(ccn3)c3)C1=N)Oc4c(ccc(cccc5)c45)C2c6ccc(OC)c(OC)c6
1.86,0,M,CCN1CCN(CC1)c2cc(C)c3cc(NC(=O)c4ccc(OC)c(OC)c4)ccc3n2
1.945,0,M,Clc1ccc(Cl)c(c1)c2oc(cc2)C(=O)Nc3ccc(CN4CCOCC4)cc3
1.995,1,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCCC45C6C7C4C8C5C6C87)N32
2,0,M,COc1ccc2nc(C)cc(Nc3ccc(Cl)cc3)c2c1
2.06,0,M,Fc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl
2.239,0.5,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=CC=C4)N32
4,0,M,CN(C)CCNc1cc(nc2ccccc12)c3ccccc3
4,0,M,CCCCc1c(C)nc2c(OC)cccc2c1O
4,0,M,CCOc1ccc2nc(C)cc(Nc3ccc(cc3)N(C)C)c2c1
4,0,M,Cc1ccc2c(C)nc(Nc3nc(C)cc(n3)c4ccccc4)nc2c1
4,0,M,CCOc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1
4,0,M,CCc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1
4,0,M,CN1CCN(CC1)c2c3CCCc3c(C#N)c4nc5ccccc5n24
4,0,M,Cc1ccc(Nc2nc(N)c3ccccc3n2)cc1Cl
4,0,M,COc1cccc(Nc2nc(N)c3ccccc3n2)c1
4,0,M,COc1cc(SC)ccc1C(=O)N2CCCC(C)C2
4.2154,0.5,B,OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CN=C(C(F)(F)F)C=C4)N32
4.5956,0,B,O=C(NC1=C(C)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4
4.801,0,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(C#N)C=C4)N32
8.1938,0,"A,B",O=C(NC1=CC=C(Cl)C=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32
8.586,1,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(F)C(F)=C4)N32
10,0,A,O=C(N1CC(C=CC=C2)=C2C1)C3=CN=CC4=NN=C(C5=CC=C(OC(F)F)C=C5)N43
10,1,B,FC1=C(F)C=CC(C(N(C)C)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1
10,0,A,c1ncc2n(c1OCC(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F
10,0,A,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NCCc1ccc(cc1)F
10,0,A,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NC(Cc1cccc(c1)Cl)=O
10,0,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(SCCC4=CC=CC=C4)N32
10,0,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CCC4=CC=CC=C4)=O)N32
10,0,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(CC5=CC=CC=C5)N=N4)N32
10,0,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N=N4)=CN4C5=CC=CC=C5)N32
10,0,C,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(C5=NC(Cl)=CN=C5)N=N4)N32
10,0,C,IC12C(C3C1C4C52)C5C34C6=NN=C7C=NC=C(OCCC8=CC(F)=C(F)C=C8)N76
10,0,C,OC1=CN=CC2=NN=C(N3CCCCC3)N21
10,0,C,FC(C=C1)=C(F)C=C1CCOC2=CN=CC3=NN=CN32
10,0,C,IC12C3C4C5(C3C1C5C24)C6=NN=C7C=NC=C(C(NC8=CC(C(F)(F)F)=NC=C8)=O)N76
50,0,A,CC(N1C2=CC=C(F)C=C2)=C(C(O)=O)C=C1C
?,1,Lit,C[C@@H](C1)N[C@@]2(C(NC3=C2C=C(Cl)C=C3)=O)C4=C1C5=CC(F)=C(F)C=C5N4
ND,0,M,CCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13
ND,0,M,CCN(CC)c1cc(C)c2cc(NC(=O)c3cccc(OC)c3)ccc2n1
ND,0,M,COc1ccc(cc1)C(O)(CCC(C)C)C(CN2CCOCC2)c3ccc(Cl)cc3
ND,0,M,CC(O)(C(CN1CCCCC1)c2ccccc2)c3ccc(Cl)cc3
ND,0,M,CCCCCCC(O)(C(CN1CCOCC1)c2ccccc2)c3ccc(F)cc3
ND,1,M,COc1ccccc1CNC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4
ND,0,M,Oc1c(CN2CCN(CC2)c3ccccc3F)cc(Br)c4cccnc14
ND,0,M,Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1F
ND,0,M,OC1(CC(=O)c2ccccc2O1)C(F)(F)C(F)(F)F
ND,0,M,CCOc1cccc2sc(nc12)N(Cc3cccnc3)C(=O)C4CCCCC4
ND,0,M,Clc1cccc(NC(=O)Nc2ccc(Br)cc2)c1
ND,0,M,CC1=CC(=O)Oc2c1ccc3oc(C(=O)c4ccccc4)c(C)c23
ND,0,M,Clc1ccc(cc1)C(=O)Nc2ccc(cc2)c3nc4cc(NC(=O)c5ccc(Cl)cc5)ccc4[nH]3
ND,0,M,COc1ccc(cc1)C(=O)C(CCC(CNC(C)(C)C)C(=O)c2ccc(OC)cc2)CNC(C)(C)C
ND,0,M,Cc1ccc(C)c(c1)c2csc(Nc3ccc(C)c(C)c3)n2
ND,0,M,CCOc1ccccc1NC(=O)CN2CCN(CC2)C(=O)c3occc3
ND,0,M,CCCCN(CCCC)S(=O)(=O)c1ccc(NC(=O)c2occc2)cc1
ND,0,M,CCCCOc1ccc(cc1)C(=O)Nc2cc(C)on2
ND,0,M,CCOc1ccc(CCNC(=O)c2cccs2)cc1OCC
ND,0,M,Cc1c(C)n(Cc2ccc(F)cc2)c3ccc(cc13)C(=O)NCc4occc4
ND,0,M,Oc1c2CCCCc2nc3cc(nn13)c4ccccc4
ND,0,M,CCN1CCN(CC1)c2c(cnc3cc(OC)c(OC)cc23)C(=O)c4ccccc4
ND,0,M,CCN(CC)c1ccc(NC(=O)c2cccs2)cc1
ND,0,M,CCOc1cccc(c1)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3
ND,0,M,COc1ccc(cc1OC)C(=O)Nc2ccc3nc(cc(C)c3c2)N4CCCCC4
ND,0,M,COc1cccc(c1)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3
ND,0,M,COc1ccc(cc1)c2cn3c(C(=O)Nc4ccccc4Cl)c(c5CCCCn2c35)c6ccccc6
ND,1,M,COc1ccc(cc1OC)c2nonc2NC(=O)c3cccc(Cl)c3
ND,0,M,Cc1ccc(cc1NCc2cc(Cc3ccccc3)ccc2O)c4oc5ccccc5n4
ND,0,M,CCC(=O)Nc1nnc(Cc2ccc(OC)c(OC)c2)s1
ND,0,M,CN(C)c1ccc(cc1)N=Cc2ccc(cc2)N3CCOCC3
ND,0,M,CC(C)(C)c1ccc(cc1)C(=O)Nc2nc3ccccc3s2
ND,0,M,CCOC(=O)c1cnc2c(CC)cccc2c1O
ND,0,M,CCN(CC)CCCNc1ccnc2cc3ccccc3cc12
ND,0,M,FC(F)(F)c1cccc(Nc2nc(nc3ncccc23)c4ccccc4)c1
ND,0,M,COc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccncc3
ND,0,M,Oc1ccc(Cl)cc1C(=O)Nc2cccc(c2)C(F)(F)F
ND,0,M,Oc1ccc(Br)cc1CN2CCN(Cc3ccc(Cl)cc3)CC2
ND,0,M,CCc1ccc(CNCC(O)c2ccccc2)cc1
ND,0,M,CC(C)(C)CC(C)(C)NCC(O)COc1ccc2CCCc2c1
ND,0,M,Cn1c(nc2ccccc12)C(=O)c3cccc4ccccc34
ND,0,M,Oc1c2CCCCc2nc3ccccc13
ND,0,M,Oc1ccc(Cl)cc1CNc2nc3ccccc3[nH]2
ND,0,M,CCOc1c(Cl)cc(CNC(C)C(O)c2ccccc2)cc1OC
ND,0,M,CC(C)(C)C(=O)Nc1ccc(cc1)C(=O)Nc2cccc(c2)c3nc4ccccc4[nH]3
ND,0,M,Oc1ccccc1NC(=O)c2ccc(Oc3cccc(c3)C(=O)Nc4ccccc4O)cc2
ND,1,M,COc1ccc(cc1OC)c2nonc2NC(=O)c3cccc(C)c3
ND,0,M,COc1ccc2nc(N)nc(C)c2c1
ND,0,M,Fc1ccccc1C(=O)N(Cc2ccc(Cl)cc2)c3ccccn3
ND,0,M,COCCN1C(=Nc2ccccc2C1=O)C
ND,0,M,COc1ccc(cc1)N2CCN(CC2)C(CNC(=O)CC(C)(C)C)c3ccc4OCOc4c3
ND,0,M,CCOc1ccc(cc1)c2nc(NC(=O)c3cccc(c3)S(=O)(=O)C)sc2C
ND,0,M,COc1ccccc1N2CCN(CC2)C(CNS(=O)(=O)c3ccc(Cl)cc3)c4cccnc4
ND,0,M,Clc1ccc(NC(=O)N2CCN(CC2)c3ccc4nncn4n3)cc1
ND,1,M,Fc1cccc(c1)c2nnc3ccc(SCC(=O)Nc4ccc5OCOc5c4)nn23
ND,0,M,FC(F)(F)c1cccc(c1)N2N=Nc3ccccc3C2=N
ND,0,M,FC(F)(F)c1ccc(Nc2nnnc3ccccc23)cc1
ND,0,M,Cc1ccc(cc1)S(=O)(=O)c2c(COC(=O)c3cccc(C)c3)c(nn2C)c4ccccc4
ND,0,M,Fc1ccc(cc1)C(=O)Nc2ccsc2C(=O)NC3CCCCC3
ND,0,M,Oc1ccccc1NC(=O)c2oc(cc2)c3ccc(Cl)cc3Cl
ND,1,M,Oc1ccc(cc1)C(=C(Cl)Cl)c2ccc(O)cc2
ND,0,M,CCN(CC)CCCNc1nc(nc2ccccc12)c3ccc(Cl)cc3
ND,0,M,OC1CCCCC1C2(CCCCC2)NC(=S)Nc3ccccc3
ND,0,M,Cc1ccc(OCCCCCCNCCO)c(C)c1
ND,0,M,COc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2
ND,0,M,Clc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccncc3)c(Cl)c1
ND,0,M,COc1ccc(CN2CCCC(C2)C(=O)c3ccc(cc3)C(F)(F)F)c(O)c1
ND,0,M,FC(F)(F)c1cccc(CNC2CCN(CC2)c3ccc(cc3)C(=O)NC4CCCC4)c1
ND,0,M,Cc1oc(CN2CCC(CC2)C(=O)Nc3ccc(cc3)c4cc5ccccc5[nH]4)cc1
ND,0,M,COCCNC(=O)c1ccc(OC2CCN(Cc3ccc(F)c(F)c3)CC2)c(Cl)c1
ND,0,M,COc1ccc(cc1)C2N(C)c3ccccc3N2C
ND,0,M,CCCc1c(C)nc2ccccc2c1O
ND,0,M,CCCC(N1CCN(CC1)C(=O)c2occc2)c3nnnn3C4CCCCC4
ND,0,M,CN(C)c1ccc(cc1)c2nc3cc(N)ccc3[nH]2
ND,0,M,CCOC(=O)C1(Cc2ccccc2)CCN(Cc3cccc(OC)c3O)CC1
ND,0,M,CC(C)(C)c1ccc(cc1)C(=O)Nc2c3CSCc3nn2c4cccc(Cl)c4
ND,1,M,CC(=O)c1ccc(NC(=O)CSc2nc(ns2)c3ccccc3Cl)cc1
ND,0,M,Brc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1
ND,0,M,CCOc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N
ND,0,M,CN(C)c1ccc(cc1)N2C(=NC(=NC2(C)C)N)N
0.2,0,P,CCC(NC(=O)c1ccccc1NC(=O)c2ccc(C)cc2)C(=O)OC
0.9,0,P,CC(C)(C)c1cc(cc(c1)C(=O)Nc2cccnc2)C(=O)Nc3cccnc3
2,0,P,C1CCN(CC1)c2cc(nc3ccccc23)c4ccccn4
0.9,0,P,O=C(Nc1cccc(c1)c2ccc(NCCCN3CCCC3)nc2)c4ccccc4
0.8,0,P,CN1CCC(CC1)NCc2cccc(c2)c3ccc(cc3)S(=O)(=O)NCc4ccccc4
0.1,0,P,COc1cncc(c1)c2cncc(n2)N3CCN(CC3)c4ccncc4
0.6,0,P,NCC(=O)N1CCn2c(C1)nc(c2Nc3ccc4OCOc4c3)c5ccccc5
0.9,0,P,CNC(=O)C1Cc2c([nH]c3cc(Cl)ccc23)C4(CCN(CCc5ccccc5)CC4)N1
1.1,1,P,CCCS(=O)(=O)N1CCC(CO)(Cc2ccccc2C(F)(F)F)CC1
1.4,0,P,C(Nc1nn2c(cnc2s1)c3cccs3)C4CCOCC4
0.5,0,P,FC(F)(F)c1cccc(c1)c2nc3c(NCc4ccncc4)nccc3[nH]2
0.1,0,P,COc1cc(ccc1O)c2cc(cnc2N)c3ccc(cc3)S(=O)(=O)C
0.1,0,P,NC(=O)c1ccc(cc1)c2nc(cnc2N)c3ccc(cc3)C#N
0.03,0,P,OCc1ccc(cc1)c2cncc(Nc3cccc(Cl)c3)c2
1.1,0,P,CN1CCN(CC1)c2nccc3nc([nH]c23)c4ccc(F)c(F)c4
1.5,0,P,CN1CCN(CC1)c2nccc3[nH]c(cc23)c4cccc(F)c4
1.3,0,P,COc1cccc(c1)c2cc3c(Nc4cccnc4)nccc3[nH]2
1.6,0,P,Clc1cccc(c1)C(c2ccc(CN3CCNCC3)cc2)n4ccnc4
0.6,0,P,NS(=O)(=O)c1cncc(c1)c2ccc3nccc(c4cn[nH]c4)c3n2
2.1,0,P,CCCNC(=O)N1CCC2(CC1)CC(=O)c3cc(C)ccc3O2
0.6,0,P,CC(C)(C)c1cc(C(=O)N2CCN(CC2)c3nccnc3C#N)n(Cc4ccccc4)n1
0.8,0,P,CC(C)(C)CN1C(=NC(C1=O)(c2ccccc2)c3ccccc3)N
0.2,0,P,Nc1nccc2ccc(Oc3ccncc3)cc12
2,0,P,C[C@@H](N1CCCC[C@H]1c2ccc(OCc3cccc(F)c3)cc2)C(=O)N
ND,0,P,C[C@@H](N1CCCC[C@@H]1c2ccc(OCc3cccc(F)c3)cc2)C(=O)N
1.6,0,P,CN(C)CCNC(=O)N1CCCN(CC1)c2ncnc3cc(sc23)c4ccccc4
1.1,0,P,OCCc1ccc(Nc2nccc(n2)c3nnc4ccccn34)cc1
0.6,0,P,Cc1ccc(cc1)S(=O)(=O)n2cc(c3ccnc(N)c3)c4cc(Br)cnc24
0.7,0,P,COc1ccc(cc1OC)c2cnc3ccc(nn23)N4CCCC4
1,0,P,FC(F)(F)c1ccc(CN2C(=O)COCc3ccc(Br)cc23)cc1
1.3,0,P,O=C(NCCc1ccccc1)c2cc(cnc2NCC3CC3)c4cccnc4
1.2,0,P,FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCNCC3)c4ccccc4
1.5,0,P,NS(=O)(=O)c1cccc(c1)c2ccc3ncc(nc3c2)N4CCOCC4
0.7,0,P,CN(C(=O)c1cc2c(cccc2[nH]1)c3cncnc3)c4ccccc4
1.1,0,P,COc1cccc2c(C)nc(N=C(N)N)nc12
0.8,0,P,Cc1cnc(CCNC(=O)c2cc(cs2)c3ccc(Cl)cc3)[nH]1
1.2,0,P,O=C1N(Cc2cc3ccccc3s2)CC4CN(Cc5ccccc5)CCN14
0.5,0,P,CS(=O)(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccc(CCC(=O)O)cc4)c3c2
0.3,0,P,CCn1ncc2c(NC3CCOCC3)c(CNC(=O)c4ccnn4C)c(C)nc12
0.4,0,P,Nc1ncc(cc1c2nc3cc(Cl)cnc3[nH]2)c4cn[nH]c4
0.2,0,P,CCN(CC)CCCN1CCN(CC1)C(=O)c2cccc(c2)c3noc(n3)C(F)(F)F
1.1,0,P,FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)Nc2ccnc(n2)c3cccnc3
0.4,0,P,CC(=O)Nc1ccc(NC(=O)c2cc([nH]n2)c3cc(Cl)ccc3O)cc1
0.8,0,P,CN(C)CCNc1ncnc2c3cc(C)ccc3[nH]c12
0.5,0,P,Cc1ccc(Oc2ccc(NC(=O)CNc3ccccc3N4CCCC4=O)cc2)cc1
0.5,0,P,CCN(CC)S(=O)(=O)c1ccc(Cl)c(c1)C(=O)Nc2ccc3nc(C)sc3c2
0.3,0,P,COc1ccc(cc1OC)C2CC(=NN2C(=O)c3occc3)c4cccs4
1.7,0,P,Cc1ccc2cc(C3NC(=O)c4ccccc4N3)c(Cl)nc2c1
0.9,1,P,Cc1onc(C)c1C(=O)N2CCCC(C2)c3[nH]c4c(C)cccc4c3c5ccncc5
1.1,1,P,CNC(=O)c1cc(cs1)S(=O)(=O)N2CCN(CC2)c3ccccn3
0.8,0,P,CC(C)c1ncc(c2ccncc2)c(n1)[C@@H]3CC[C@@H](CNC(=O)c4cccnc4)CC3
1.5,0,P,Nc1ccc(cc1)C(=O)Nc2ccc(cc2)c3oc4ccccc4n3
1.1,0,P,Cc1ccc2c(NC(=O)C23NN=C(S3)c4ccccc4)c1C
0.6,0,P,CC1CC1C(=O)NC2CCN(CC3(CCCCC3)c4ccccc4)CC2
0.6,0,P,CN(C)c1cc(NC(=O)Nc2ccccc2)c3ccccc3n1
0.6,0,P,COc1cc2ncnc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC
0.5,1,P,Brc1ccc2NC(=O)C3(NCCc4c3[nH]c5ccccc45)c2c1
0.7,0,P,CCOc1ccc(cc1)c2nc(NC(=O)CS(=O)(=O)c3ccccc3)sc2C
1,0,P,Clc1ccc2OCCN(c3ccc(s3)C(=O)NC4CC4)c2c1
0.7,0,P,Cc1oc(NC(=O)c2cn(nc2c3ccccc3C)c4ccccc4)nn1
0.8,0,P,Cc1onc(c1)C(=O)Nc2ccc(cc2)c3ccccc3
0.2,1,P,COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)c2cnn(n2)c3ccccc3
1.1,1,P,Cc1cc2ccccc2n1CC(=O)N3CC(Oc4ccccc34)C(=O)N5CCCCC5
1.4,0,P,COc1ccccc1C(C)NCC(=O)Nc2cc(ccc2Cl)C(F)(F)F
0.4,0,P,CCOc1ccccc1NC(C)C(=O)Nc2cc(ccc2N3CCOCC3)C(F)(F)F
0.3,0,P,CC(C)NCC(=O)Nc1cccc(c1)C(=O)Nc2cccc(c2)C(F)(F)F
0.4,0,P,Cc1ccc(NC(=O)c2nc[nH]c2C(=O)Nc3nc4ccccc4[nH]3)c(C)c1
