Potency Qualifier	Potency vs Parasite (uMol)	Ion Regulation Activity	Ion Regulation Test Set	Smiles	InChI	IChI Key	Origin	ID: OSM Code	ID: MMV	ID: Internal OSM	ID: PubChem	ID: Chembl	ID: Commercial	ID: Other	Single Shot Inhibition %	Alternative EC50 from Chembl (uM)
	0.532	0	M	COc1ccc(Nc2nc(NN=Cc3ccc(O)cc3)nc(Nc4ccc(cc4)[N+](=O)[O-])n2)cc1	InChI=1S/C23H20N8O4/c1-35-20-12-6-17(7-13-20)26-22-27-21(25-16-4-8-18(9-5-16)31(33)34)28-23(29-22)30-24-14-15-2-10-19(32)11-3-15/h2-14,32H,1H3,(H3,25,26,27,28,29,30)	PPSIRBXGBCWYRP-UHFFFAOYSA-N	Mbox		MMV666689			TCMDC-124127				1.117042239
	0.534	0	M	CCCCCCc1cc(O)c2C3=C(CCC(C)C3)C(=O)Oc2c1	InChI=1S/C20H26O3/c1-3-4-5-6-7-14-11-17(21)19-16-10-13(2)8-9-15(16)20(22)23-18(19)12-14/h11-13,21H,3-10H2,1-2H3	ICDBBXTXPHUQSO-UHFFFAOYSA-N	Mbox		MMV665987			GNF-Pf-4816				0.364
	0.534			N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32	InChI=1S/C20H15N5O/c21-12-16-6-8-17(9-7-16)20-24-23-18-13-22-14-19(25(18)20)26-11-10-15-4-2-1-3-5-15/h1-9,13-14H,10-11H2	ZUPHNBXHMXOSSS-UHFFFAOYSA-N	OSM S4	OSM-S-187							100	
	0.535	0	M	Cc1ccc(c(O)c1)c2cc([nH]n2)C(=O)Nc3ccc(cc3)S(=O)(=O)N4CCCCC4	InChI=1S/C22H24N4O4S/c1-15-5-10-18(21(27)13-15)19-14-20(25-24-19)22(28)23-16-6-8-17(9-7-16)31(29,30)26-11-3-2-4-12-26/h5-10,13-14,27H,2-4,11-12H2,1H3,(H,23,28)(H,24,25)	GIQLSYUQGQPQSU-UHFFFAOYSA-N	Mbox		MMV665906			TCMDC-124305				1.765451986
	0.536	0	M	CC(=O)c1sc(NC(=O)Nc2ccc(C)cc2C)nc1C	InChI=1S/C15H17N3O2S/c1-8-5-6-12(9(2)7-8)17-14(20)18-15-16-10(3)13(21-15)11(4)19/h5-7H,1-4H3,(H2,16,17,18,20)	YEZKDQMRCWMZNO-UHFFFAOYSA-N	Mbox		MMV665894			TCMDC-124895				0.906196274
	0.538	0	M	CCCCc1ccc(NS(=O)(=O)c2cc3CCN4C(=O)CCc(c2)c34)cc1	InChI=1S/C21H24N2O3S/c1-2-3-4-15-5-8-18(9-6-15)22-27(25,26)19-13-16-7-10-20(24)23-12-11-17(14-19)21(16)23/h5-6,8-9,13-14,22H,2-4,7,10-12H2,1H3	GDEYSCBSQAECPV-UHFFFAOYSA-N	Mbox		MMV001255			SJ000269304				15
	0.539	1	M	Cc1ccc(F)cc1NC(=O)c2cc(Cl)ccc2Nc3ccccc3	InChI=1S/C20H16ClFN2O/c1-13-7-9-15(22)12-19(13)24-20(25)17-11-14(21)8-10-18(17)23-16-5-3-2-4-6-16/h2-12,23H,1H3,(H,24,25)	YDYIMBIBJGKUCE-UHFFFAOYSA-N	Mbox		MMV007275			GNF-Pf-5304				0.1914
	0.545	0	M	CN1C(=O)N(C)c2cc(CNCCNc3ccnc4cc(Cl)ccc34)ccc12	InChI=1S/C21H22ClN5O/c1-26-19-6-3-14(11-20(19)27(2)21(26)28)13-23-9-10-25-17-7-8-24-18-12-15(22)4-5-16(17)18/h3-8,11-12,23H,9-10,13H2,1-2H3,(H,24,25)	NPWXHTXMBIOHKI-UHFFFAOYSA-N	Mbox		MMV665875			TCMDC-125236				0.140053664
	0.5468			c1ncc2n(c1C(=O)NC1CCc3c1ccc(c3)Cl)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C22H16ClF2N5O2/c23-14-4-7-16-13(9-14)3-8-17(16)27-21(31)18-10-26-11-19-28-29-20(30(18)19)12-1-5-15(6-2-12)32-22(24)25/h1-2,4-7,9-11,17,22H,3,8H2,(H,27,31)	HNBNSRMVIRFWNX-UHFFFAOYSA-N	OSM S4		MMV672624							
	0.548	0	M	Oc1ccccc1CN2CCC3(CCCN(Cc4ccccc4F)C3)C2	InChI=1S/C22H27FN2O/c23-20-8-3-1-6-18(20)14-24-12-5-10-22(16-24)11-13-25(17-22)15-19-7-2-4-9-21(19)26/h1-4,6-9,26H,5,10-17H2	IGCYDMHHQHPMEJ-UHFFFAOYSA-N	Mbox		MMV666116			TCMDC-124620				0.679327243
	0.551	0	M	COc1ccc(C=C2SC(=NC2=O)Nc3ccccc3)cc1	InChI=1S/C17H14N2O2S/c1-21-14-9-7-12(8-10-14)11-15-16(20)19-17(22-15)18-13-5-3-2-4-6-13/h2-11H,1H3,(H,18,19,20)	GIIJJSVNYMYHHB-UHFFFAOYSA-N	Mbox		MMV665836			GNF-Pf-4742;GNF-Pf-2875				0.2921;0.342
	0.551	0	M	CCCCCCc1cc2C=C(C(=Nc3ccccc3C)Oc2cc1O)c4nc5ccccc5[nH]4	InChI=1S/C29H29N3O2/c1-3-4-5-6-12-20-16-21-17-22(28-30-24-14-9-10-15-25(24)31-28)29(34-27(21)18-26(20)33)32-23-13-8-7-11-19(23)2/h7-11,13-18,33H,3-6,12H2,1-2H3,(H,30,31)	DGBJSVJYBSICRH-UHFFFAOYSA-N	Mbox		MMV666597			GNF-Pf-5687				2.123
	0.552	0	M	CN1C=C(C(c2ccccc12)c3c[nH]c4ccccc34)c5ccc6ccccc6n5	InChI=1S/C27H21N3/c1-30-17-22(25-15-14-18-8-2-5-11-23(18)29-25)27(20-10-4-7-13-26(20)30)21-16-28-24-12-6-3-9-19(21)24/h2-17,27-28H,1H3	NUSKKJAEDSKKNC-UHFFFAOYSA-N	Mbox		MMV008160			GNF-Pf-3586				1.144
	0.555	0	M	ClCC(=O)NCCOc1ccc(Cl)cc1Cl	InChI=1S/C10H10Cl3NO2/c11-6-10(15)14-3-4-16-9-2-1-7(12)5-8(9)13/h1-2,5H,3-4,6H2,(H,14,15)	YDVUTDAMJFFBOB-UHFFFAOYSA-N	Mbox		MMV665927			GNF-Pf-2296				0.538
	0.56	0	M	CCOc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1	InChI=1S/C18H15NO3/c1-2-21-14-10-7-13(8-11-14)9-12-17-19-18(20)15-5-3-4-6-16(15)22-17/h3-12H,2H2,1H3	CCLAOBVTVUUPGH-UHFFFAOYSA-N	Mbox		MMV665940			SJ000033445				0.1875
	0.563	0	M	Brc1ccc2OCC(=Cc2c1)C(=O)NCCCN3CCC(CC3)N4CCCCC4	InChI=1S/C23H32BrN3O2/c24-20-5-6-22-18(16-20)15-19(17-29-22)23(28)25-9-4-10-26-13-7-21(8-14-26)27-11-2-1-3-12-27/h5-6,15-16,21H,1-4,7-14,17H2,(H,25,28)	SNLLGJBMDQWSKR-UHFFFAOYSA-N	Mbox		MMV019995			TCMDC-124696				0.853221524
	0.567	0	M	OC1=C2C(Sc3ccccc3N=C2c4ccccc14)c5ccc(Br)cc5	InChI=1S/C22H14BrNOS/c23-14-11-9-13(10-12-14)22-19-20(15-5-1-2-6-16(15)21(19)25)24-17-7-3-4-8-18(17)26-22/h1-12,22,25H	OCRPJJVCTSPKOU-UHFFFAOYSA-N	Mbox		MMV007127			GNF-Pf-5290				0.337
	0.5697			c1ncc2n(c1N[C@H](c1cc(c(cc1)F)F)CO)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C20H15F4N5O2/c21-14-6-3-12(7-15(14)22)16(10-30)26-17-8-25-9-18-27-28-19(29(17)18)11-1-4-13(5-2-11)31-20(23)24/h1-9,16,20,26,30H,10H2/t16-/m0/s1	SVFYCNYIUKOGIZ-INIZCTEOSA-N	OSM S4		MMV671652							
	0.5764			c1ncc2n(c1Oc1ccc3c(c1)scc3)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C20H12F2N4O2S/c21-20(22)28-14-4-2-13(3-5-14)19-25-24-17-10-23-11-18(26(17)19)27-15-6-1-12-7-8-29-16(12)9-15/h1-11,20H	MLBNXJTXHVBPEC-UHFFFAOYSA-N	OSM S4		MMV672937							
	0.5767	1	B	OC(C1=CC(F)=C(F)C=C1)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32	InChI=1S/C20H13F2N5O2/c21-15-6-5-14(7-16(15)22)17(28)11-29-19-10-24-9-18-25-26-20(27(18)19)13-3-1-12(8-23)2-4-13/h1-7,9-10,17,28H,11H2	HHHWRCNBDNZMPN-UHFFFAOYSA-N	OSM S4	OSM-S-376	MMV897708	AEW 314-1						
	0.582			FC(C=C1)=C(F)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32	InChI=1S/C19H14F2N4O/c20-15-7-6-14(10-16(15)21)19-24-23-17-11-22-12-18(25(17)19)26-9-8-13-4-2-1-3-5-13/h1-7,10-12H,8-9H2	DNQWZOZQWWSJTR-UHFFFAOYSA-N	OSM S4	OSM-S-349		AEW 290-1						
	0.584	0	M	CCCCOC(=O)c1ccc(Nc2cc(C)nc3ccc(OC)cc23)cc1	InChI=1S/C22H24N2O3/c1-4-5-12-27-22(25)16-6-8-17(9-7-16)24-21-13-15(2)23-20-11-10-18(26-3)14-19(20)21/h6-11,13-14H,4-5,12H2,1-3H3,(H,23,24)	YHXCXRGIXGMGEO-UHFFFAOYSA-N	Mbox		MMV665797			TCMDC-124192				0.639573215
	0.589	0	M	n1c(NCc2ccccc2)c3c(cccc3)nc1Nc(cc4)ccc4OC	InChI=1S/C22H20N4O/c1-27-18-13-11-17(12-14-18)24-22-25-20-10-6-5-9-19(20)21(26-22)23-15-16-7-3-2-4-8-16/h2-14H,15H2,1H3,(H2,23,24,25,26)	GFDLOQVUVBBATG-UHFFFAOYSA-N	Mbox		MMV000963			GNF-Pf-3570;SJ000171111				0.2125;1.3075
	0.59	0	M	OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc3ccccc13	InChI=1S/C16H14Cl2N4O/c17-12-6-5-10(9-13(12)18)20-16-21-14-4-2-1-3-11(14)15(22-16)19-7-8-23/h1-6,9,23H,7-8H2,(H2,19,20,21,22)	ZGMMVVYGDFQTBB-UHFFFAOYSA-N	Mbox		MMV001041			GNF-Pf-3259;SJ000201788				0.1399;15
	0.591	0	M	COc1ccc(C=C2SC(=NC2=O)Nc3ccc(F)cc3)c(OC)c1	InChI=1S/C18H15FN2O3S/c1-23-14-8-3-11(15(10-14)24-2)9-16-17(22)21-18(25-16)20-13-6-4-12(19)5-7-13/h3-10H,1-2H3,(H,20,21,22)	UUOFLIYGLOGPNZ-UHFFFAOYSA-N	Mbox		MMV084434			GNF-Pf-2150;GNF-Pf-1923;GNF-Pf-1268				0.266;0.2705;1.063
	0.5973			c1ncc2n(c1Oc1cc(c(cc1)Cl)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C19H10ClF5N4O2/c20-14-6-5-12(7-13(14)19(23,24)25)30-16-9-26-8-15-27-28-17(29(15)16)10-1-3-11(4-2-10)31-18(21)22/h1-9,18H	JMNZLRAAYWFJSK-UHFFFAOYSA-N	OSM S4		MMV671650							
	0.603	0	M	CC(NCc1ccccc1)c2cc(Cl)ccc2O	InChI=1S/C15H16ClNO/c1-11(14-9-13(16)7-8-15(14)18)17-10-12-5-3-2-4-6-12/h2-9,11,17-18H,10H2,1H3	WRZDLRLFAQCKBJ-UHFFFAOYSA-N	Mbox		MMV665789			GNF-Pf-5245				0.592
	0.6095			[C@H]1([C@@H](N(C1)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C24H19F4N5O2/c25-17-8-3-14(9-18(17)26)22-19(12-32(22)15-4-5-15)35-21-11-29-10-20-30-31-23(33(20)21)13-1-6-16(7-2-13)34-24(27)28/h1-3,6-11,15,19,22,24H,4-5,12H2/t19-,22-/m0/s1	WHJQMHNZFFDXED-UGKGYDQZSA-N	OSM S4		MMV671933							
	0.611	0	M	Oc1ccccc1CN2CCN(CC2)C(c3ccccc3)c4ccccc4	InChI=1S/C24H26N2O/c27-23-14-8-7-13-22(23)19-25-15-17-26(18-16-25)24(20-9-3-1-4-10-20)21-11-5-2-6-12-21/h1-14,24,27H,15-19H2	WWXZPNJGLCBJPZ-UHFFFAOYSA-N	Mbox		MMV011795			GNF-Pf-3125;TCMDC-124458				0.744;0.760604086
	0.6133			c1ncc2n(c1OCC(c1cc(c(cc1)F)F)N1CCOCC1)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C24H21F4N5O3/c25-18-6-3-16(11-19(18)26)20(32-7-9-34-10-8-32)14-35-22-13-29-12-21-30-31-23(33(21)22)15-1-4-17(5-2-15)36-24(27)28/h1-6,11-13,20,24H,7-10,14H2	MTYMSRWFPISKOF-UHFFFAOYSA-N	OSM S4		MMV671647							
	0.6145	0	M	Cc1sc2ncnc(Sc3nc4ccccc4[nH]3)c2c1C	InChI=1S/C15H12N4S2/c1-8-9(2)20-13-12(8)14(17-7-16-13)21-15-18-10-5-3-4-6-11(10)19-15/h3-7H,1-2H3,(H,18,19)	NWDJYAXDXGNJBH-UHFFFAOYSA-N	Mbox		MMV019266			TCMDC-123835				0.25505685
	0.615	0	M	c1(C(OCC)=O)c(cc(cc2)OC(=O)c(cc3OC)cc(OC)c3OC)c2n(c4ccccc4)c1C	InChI=1S/C28H27NO7/c1-6-35-28(31)25-17(2)29(19-10-8-7-9-11-19)22-13-12-20(16-21(22)25)36-27(30)18-14-23(32-3)26(34-5)24(15-18)33-4/h7-16H,6H2,1-5H3	NLYAJWBXKKMDFW-UHFFFAOYSA-N	Mbox		MMV396664			NA				NA
	0.625	0	M	CCN(Cc1ccccc1)C2CCN(Cc3cc(Br)ccc3O)CC2	InChI=1S/C21H27BrN2O/c1-2-24(15-17-6-4-3-5-7-17)20-10-12-23(13-11-20)16-18-14-19(22)8-9-21(18)25/h3-9,14,20,25H,2,10-13,15-16H2,1H3	HSRJUIYSYAXNIE-UHFFFAOYSA-N	Mbox		MMV019127			TCMDC-123661				0.823273403
	0.632	0	M	COc1ccc(CCNC(=O)c2cc(ccc2Sc3ccc(F)cc3)S(=O)(=O)N4CC(C)CC(C)C4)cc1OC	InChI=1S/C30H35FN2O5S2/c1-20-15-21(2)19-33(18-20)40(35,36)25-10-12-29(39-24-8-6-23(31)7-9-24)26(17-25)30(34)32-14-13-22-5-11-27(37-3)28(16-22)38-4/h5-12,16-17,20-21H,13-15,18-19H2,1-4H3,(H,32,34)	CTVWIVNUGCNAIM-UHFFFAOYSA-N	Mbox		MMV007557			GNF-Pf-512				1.054
	0.635	0	M	Cc1ccc(CSCc2oc(cc2)C(=O)NC3CC3)cc1	InChI=1S/C17H19NO2S/c1-12-2-4-13(5-3-12)10-21-11-15-8-9-16(20-15)17(19)18-14-6-7-14/h2-5,8-9,14H,6-7,10-11H2,1H3,(H,18,19)	WTMDQRUYOZURPG-UHFFFAOYSA-N	Mbox		MMV007571			GNF-Pf-5244				0.418
	0.6405	0	M	CCC(O)c1ccc(Br)cc1NC(=O)c2cccc(Cl)c2	InChI=1S/C16H15BrClNO2/c1-2-15(20)13-7-6-11(17)9-14(13)19-16(21)10-4-3-5-12(18)8-10/h3-9,15,20H,2H2,1H3,(H,19,21)	CUWSCNYUVZAUCL-UHFFFAOYSA-N	Mbox		MMV020654			TCMDC-125394				1.023183393
	0.641	0	M	CCN(CC)S(=O)(=O)c1ccc(cc1)c2csc(Nc3ccc(C)c(C)c3)n2	InChI=1S/C21H25N3O2S2/c1-5-24(6-2)28(25,26)19-11-8-17(9-12-19)20-14-27-21(23-20)22-18-10-7-15(3)16(4)13-18/h7-14H,5-6H2,1-4H3,(H,22,23)	CFAYJTHICHSZHC-UHFFFAOYSA-N	Mbox		MMV009108			GNF-Pf-3616				2.104
	0.642	0	M	CCC(C)NCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2	InChI=1S/C18H21Cl2NO/c1-3-13(2)21-12-18(22,14-4-8-16(19)9-5-14)15-6-10-17(20)11-7-15/h4-11,13,21-22H,3,12H2,1-2H3	BQRBPWDQFAYRAI-UHFFFAOYSA-N	Mbox		MMV665928			GNF-Pf-4606;TCMDC-123502				0.639;0.843460255
	0.646	0	M	Oc1ccc2ccccc2c1CNc3nc4ccccc4[nH]3	InChI=1S/C18H15N3O/c22-17-10-9-12-5-1-2-6-13(12)14(17)11-19-18-20-15-7-3-4-8-16(15)21-18/h1-10,22H,11H2,(H2,19,20,21)	LESBHTSZBYJXQC-UHFFFAOYSA-N	Mbox		MMV011832			GNF-Pf-2551				0.652
	0.646	0	M	O=C(NC1CCN(Cc2ccccc2)CC1)c3cc(cc(c3)C(=O)NC4CCN(Cc5ccccc5)CC4)C(=O)NC6CCN(Cc7ccccc7)CC6	InChI=1S/C45H54N6O3/c52-43(46-40-16-22-49(23-17-40)31-34-10-4-1-5-11-34)37-28-38(44(53)47-41-18-24-50(25-19-41)32-35-12-6-2-7-13-35)30-39(29-37)45(54)48-42-20-26-51(27-21-42)33-36-14-8-3-9-15-36/h1-15,28-30,40-42H,16-27,31-33H2,(H,46,52)(H,47,53)(H,48,54)	WJUOPSPFQSXVSK-UHFFFAOYSA-N	Mbox		MMV019881			TCMDC-124568				1.038572911
	0.648	0	M	CC1CCCCN1CCCNC(=O)c2ccc3c(c2)sc4nc(cn34)c5ccc(F)cc5	InChI=1S/C25H27FN4OS/c1-17-5-2-3-13-29(17)14-4-12-27-24(31)19-8-11-22-23(15-19)32-25-28-21(16-30(22)25)18-6-9-20(26)10-7-18/h6-11,15-17H,2-5,12-14H2,1H3,(H,27,31)	HUNTUYGOSLDWGM-UHFFFAOYSA-N	Mbox		MMV000634			SJ000100738				0.6342
	0.65			c1ncc2nnc(n2c1C(Nc1ccc(c(c1)F)F)=O)c1ccc(cc1)OC(F)F	InChI=1S/C19H11F4N5O2/c20-13-6-3-11(7-14(13)21)25-18(29)15-8-24-9-16-26-27-17(28(15)16)10-1-4-12(5-2-10)30-19(22)23/h1-9,19H,(H,25,29)	KKUPIUJNLQIEQB-UHFFFAOYSA-N	OSM S4		MMV669850							
	0.66	0	M	OC(CNC1CCCC1)Cn2c3ccccc3c4ccccc24	InChI=1S/C20H24N2O/c23-16(13-21-15-7-1-2-8-15)14-22-19-11-5-3-9-17(19)18-10-4-6-12-20(18)22/h3-6,9-12,15-16,21,23H,1-2,7-8,13-14H2	UIWHEXAVANZGHK-UHFFFAOYSA-N	Mbox		MMV000848			SJ000130653				1.0825
	0.6615	0	M	c1ccc(cc1)C2=Nc3ccccc3N=C(c4ccccc4)c5ccccc25	InChI=1S/C26H18N2/c1-3-11-19(12-4-1)25-21-15-7-8-16-22(21)26(20-13-5-2-6-14-20)28-24-18-10-9-17-23(24)27-25/h1-18H/b25-21?,26-22?,27-23?,27-25-,28-24?,28-26-	UMEQDRXHICXZHW-HXFZPWKDSA-N	Mbox		MMV007113			GNF-Pf-4075				0.678
	0.662	0	M	Cc1cc(Nc2cccc(F)c2)nc(NCc3ccccc3)n1	InChI=1S/C18H17FN4/c1-13-10-17(22-16-9-5-8-15(19)11-16)23-18(21-13)20-12-14-6-3-2-4-7-14/h2-11H,12H2,1H3,(H2,20,21,22,23)	CTOCGJNJJGMVFB-UHFFFAOYSA-N	Mbox		MMV006319			GNF-Pf-2534				0.0722
	0.663	0	M	COc1ccc(CNC2CCN(CC2)c3ccc(NC(=O)c4cccc(Cl)c4)cc3)cc1OC	InChI=1S/C27H30ClN3O3/c1-33-25-11-6-19(16-26(25)34-2)18-29-22-12-14-31(15-13-22)24-9-7-23(8-10-24)30-27(32)20-4-3-5-21(28)17-20/h3-11,16-17,22,29H,12-15,18H2,1-2H3,(H,30,32)	UVXZEDMTBRPOPY-UHFFFAOYSA-N	Mbox		MMV666067			TCMDC-124658				1.016383845
	0.669	0	M	CN1C(=O)c2cc(sc2c3ccccc13)C(=O)NCCCN4CCCCCC4	InChI=1S/C22H27N3O2S/c1-24-18-10-5-4-9-16(18)20-17(22(24)27)15-19(28-20)21(26)23-11-8-14-25-12-6-2-3-7-13-25/h4-5,9-10,15H,2-3,6-8,11-14H2,1H3,(H,23,26)	NVFMMXVDSJFVNO-UHFFFAOYSA-N	Mbox		MMV019313			TCMDC-123889				0.689489803
	0.6765	0	M	OC(COc1ccccc1C(=O)CCc2ccccc2)CN3CCCCC3	InChI=1S/C23H29NO3/c25-20(17-24-15-7-2-8-16-24)18-27-23-12-6-5-11-21(23)22(26)14-13-19-9-3-1-4-10-19/h1,3-6,9-12,20,25H,2,7-8,13-18H2	DMYOHQBLOZMDLP-UHFFFAOYSA-N	Mbox		MMV009015			GNF-Pf-5152				0.881
	0.683	0	M	CCOc1cc2CCNC(c3cc(C)c(O)c(C)c3)c2cc1OCC	InChI=1S/C21H27NO3/c1-5-24-18-11-15-7-8-22-20(17(15)12-19(18)25-6-2)16-9-13(3)21(23)14(4)10-16/h9-12,20,22-23H,5-8H2,1-4H3	NQOWXNNPHFBNDI-UHFFFAOYSA-N	Mbox		MMV000483			SJ000053546				1.8276
	0.683	0	M	n1(c2c(cccc2)n3)c3c(C#N)c(C)cc1N(CC4)CCN4C5CCCC5	InChI=1S/C22H25N5/c1-16-14-21(26-12-10-25(11-13-26)17-6-2-3-7-17)27-20-9-5-4-8-19(20)24-22(27)18(16)15-23/h4-5,8-9,14,17H,2-3,6-7,10-13H2,1H3	GSOYKOOBWAVEGP-UHFFFAOYSA-N	Mbox		MMV006706			GNF-Pf-3245				0.743
	0.684	0	M	Cc1cc(Nc2ccc(OCc3ccccc3)cc2)nc4cc(O)ccc14	InChI=1S/C23H20N2O2/c1-16-13-23(25-22-14-19(26)9-12-21(16)22)24-18-7-10-20(11-8-18)27-15-17-5-3-2-4-6-17/h2-14,26H,15H2,1H3,(H,24,25)	UFEMDLAFOZMSRW-UHFFFAOYSA-N	Mbox		MMV007181			GNF-Pf-5460				0.0736
	0.685	0	M	FC(F)(F)c1cccc(CNC2CCN(CCc3ccccc3)CC2)c1	InChI=1S/C21H25F3N2/c22-21(23,24)19-8-4-7-18(15-19)16-25-20-10-13-26(14-11-20)12-9-17-5-2-1-3-6-17/h1-8,15,20,25H,9-14,16H2	DFOQWCGMBXUJKJ-UHFFFAOYSA-N	Mbox		MMV665979			GNF-Pf-1686				0.1742
	0.686	0	M	c1(cc(C)nc(ccc(OC)c2)c12)Nc3ccccc3O	InChI=1S/C17H16N2O2/c1-11-9-16(19-15-5-3-4-6-17(15)20)13-10-12(21-2)7-8-14(13)18-11/h3-10,20H,1-2H3,(H,18,19)	XQBRDVAYQUCUCM-UHFFFAOYSA-N	Mbox		MMV274073			NA				NA
	0.693	0	M	Cc1onc(NC(=O)c2ccc(cc2)c3ccccc3)c1	InChI=1S/C17H14N2O2/c1-12-11-16(19-21-12)18-17(20)15-9-7-14(8-10-15)13-5-3-2-4-6-13/h2-11H,1H3,(H,18,19,20)	AJYMHYCXEZLKAD-UHFFFAOYSA-N	Mbox		MMV018984			TCMDC-123478				1.023587891
	0.693	0	M	C1(=NC(N(C)C2=O)=O)C2=NC(=NN1CC)c3ccc(C(=O)OC)cc3	InChI=1S/C16H15N5O4/c1-4-21-13-11(14(22)20(2)16(24)18-13)17-12(19-21)9-5-7-10(8-6-9)15(23)25-3/h5-8H,4H2,1-3H3	MFSAGTMHCKNNCQ-UHFFFAOYSA-N	Mbox		MMV306025			NA				NA
	0.6945	0	M	CCN1C2=C(CCC2)C(=N)C3=C1CCCC3	InChI=1S/C14H20N2/c1-2-16-12-8-4-3-6-10(12)14(15)11-7-5-9-13(11)16/h15H,2-9H2,1H3	RDKPMNKWSNJWRL-UHFFFAOYSA-N	Mbox		MMV000340			SJ000031508				3.125
	0.697	0	M	CC(C)OCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14	InChI=1S/C24H28ClN3O2/c1-17(2)30-16-19-13-18(24(29)23-22(19)7-4-8-26-23)15-27-9-11-28(12-10-27)21-6-3-5-20(25)14-21/h3-8,13-14,17,29H,9-12,15-16H2,1-2H3	IENYQAIEIIEHTE-UHFFFAOYSA-N	Mbox		MMV000788			SJ000117455				0.9409
	0.697	0	M	Cc1ccccc1OCCSc2nc3ccc(NC(=O)c4cccs4)cc3s2	InChI=1S/C21H18N2O2S3/c1-14-5-2-3-6-17(14)25-10-12-27-21-23-16-9-8-15(13-19(16)28-21)22-20(24)18-7-4-11-26-18/h2-9,11,13H,10,12H2,1H3,(H,22,24)	AWTRJSJHAUPRTB-UHFFFAOYSA-N	Mbox		MMV007396			GNF-Pf-3312				0.497
	0.697	0	M	Cc1cc(C)c2nc(sc2c1)N3CCC(CC3)C(=O)NCCCN4CCC(CC4)N5CCCCC5	InChI=1S/C28H43N5OS/c1-21-19-22(2)26-25(20-21)35-28(30-26)33-17-7-23(8-18-33)27(34)29-11-6-12-31-15-9-24(10-16-31)32-13-4-3-5-14-32/h19-20,23-24H,3-18H2,1-2H3,(H,29,34)	ILZUZHCKWZMMBI-UHFFFAOYSA-N	Mbox		MMV019780			TCMDC-124448				0.837578346
	0.7	0	M	c12c(ncnc1NCCCN(CC3)CCO3)c4c(ccc(Cl)c4)[nH]2	InChI=1S/C17H20ClN5O/c18-12-2-3-14-13(10-12)15-16(22-14)17(21-11-20-15)19-4-1-5-23-6-8-24-9-7-23/h2-3,10-11,22H,1,4-9H2,(H,19,20,21)	ULJISGNQAXNPOC-UHFFFAOYSA-N	Mbox		MMV006587			GNF-Pf-4478				0.1089
	0.702			FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(Cl)C(Cl)=C4)N32	InChI=1S/C20H14Cl2F2N4O2/c1-11(13-4-7-15(21)16(22)8-13)29-18-10-25-9-17-26-27-19(28(17)18)12-2-5-14(6-3-12)30-20(23)24/h2-11,20H,1H3	ILDZQTSEZGQWFR-UHFFFAOYSA-N	OSM S4	OSM-S-346		AEW 284-1						
	0.706	0	M	CCCCNc1nc(NC(C)(C)C)nc(NC(C)(C)C)n1	InChI=1S/C15H30N6/c1-8-9-10-16-11-17-12(20-14(2,3)4)19-13(18-11)21-15(5,6)7/h8-10H2,1-7H3,(H3,16,17,18,19,20,21)	MNGKSEZZXHVVJO-UHFFFAOYSA-N	Mbox		MMV665864			GNF-Pf-14				2.157
	0.707	0	M	c12c(ncnc1NCCN(CC)CC)c3c(ccc(Br)c3)[nH]2	InChI=1S/C16H20BrN5/c1-3-22(4-2)8-7-18-16-15-14(19-10-20-16)12-9-11(17)5-6-13(12)21-15/h5-6,9-10,21H,3-4,7-8H2,1-2H3,(H,18,19,20)	JVJPNYGWKLOKTR-UHFFFAOYSA-N	Mbox		MMV006545			GNF-Pf-3274				0.288
	0.709			ClC(C=C1)=C(Cl)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32	InChI=1S/C19H14Cl2N4O/c20-15-7-6-14(10-16(15)21)19-24-23-17-11-22-12-18(25(17)19)26-9-8-13-4-2-1-3-5-13/h1-7,10-12H,8-9H2	DJLRRTBQGVDDPH-UHFFFAOYSA-N	OSM S4	OSM-S-350		AEW 291-1						
	0.716	0	M	CCCCC1=C(CCC)C(=N)c2ccccc2N1C	InChI=1S/C17H24N2/c1-4-6-11-15-13(9-5-2)17(18)14-10-7-8-12-16(14)19(15)3/h7-8,10,12,18H,4-6,9,11H2,1-3H3	KEUFFISILHOPIT-UHFFFAOYSA-N	Mbox		MMV007764			GNF-Pf-4338				0.3113
